설치장소명,위도,경도,약국전화번호,약국소재지(도로명)
편한약국,37.38255772,126.9516448,031-452-7030,"경기도 안양시 동안구 경수대로 430, 상가A동 107일부호 (호계동, 호계e-편한세상아파트)"
동안약국,37.38255772,126.9516448,031-348-9788,"경기도 안양시 동안구 귀인로 107-1, 1층 (호계동)"
세계로약국,37.39941317,126.938663,031-466-8447,"경기도 안양시 동안구 관악대로 133, 161동 301-3호 (비산동, 삼성래미안아파트상가)"
굿모닝약국,37.39135166,126.950431,031-476-1723,"경기도 안양시 동안구 시민대로 175, 314호 (비산동, 동안프라자)"
봄온누리약국,37.37087645,126.9589726,031-451-5622,"경기도 안양시 동안구 흥안대로 127, 105호 (호계동, 한신빌딩)"
웰빙프라자약국,37.3836402,126.9592265,031-381-8284,"경기도 안양시 동안구 평촌대로 131, 101호 (호계동, 아카데미센터)"
본약국,37.3947562,126.9764741,031-421-5810,"경기도 안양시 동안구 흥안대로456번길 11, 105호 (평촌동, 본프라자상가)"
아름다운약국,37.5514808,126.9617493,031-459-0046,"경기도 안양시 동안구 경수대로 536, 5층 (호계동, 정암빌딩)"
한마음약국,37.39913275,126.9423858,031-383-2308,"경기도 안양시 동안구 관악대로 165, 102호 (비산동)"
호계온누리약국,37.3632093,126.9608049,031-477-7551,"경기도 안양시 동안구 경수대로 430, 22상가동 105호 (호계동, 호계이편안아파트상가)"
부부온누리약국,37.399483,126.9388498,031-449-1873,"경기도 안양시 동안구 관악대로 133, 201호 (비산동, 삼성래미안아파트상가)"
홈타운약국,37.36501029,126.9596765,031-459-0777,"경기도 안양시 동안구 경수대로 462, 125호 (호계동, 호계2차현대홈타운상가)"
세경온누리약국,37.39727026,126.9553343,031-476-0218,"경기도 안양시 동안구 달안로 112, 101-1호 (관양동, 한가람세경상가)"
대원약국,37.38499808,126.9598921,031-385-0078,"경기도 안양시 동안구 귀인로 253, 137-1호 (평촌동, 초원아파트대원상가)"
평촌범계약국,37.3914169,126.9534491,031-388-9561,"경기도 안양시 동안구 시민대로 202, 103호 (호계동, 에메랄드빌딩)"
스마일약국,37.38499808,126.9598921,031-387-0560,"경기도 안양시 동안구 평촌대로 142, 203호 (평촌동, 트윈마트)"
소망약국,37.3903721,126.9550334,031-383-7942,"경기도 안양시 동안구 평촌대로211번길 16, 삼희월드프라자 109,110호 (호계동)"
베스트팜약국,37.3855364,126.9612884,031-388-7879,"경기도 안양시 동안구 귀인로 198, 111,112호 (평촌동, 베스트상가)"
실로암약국,34.0522717,-118.2849094,031-387-6566,"경기도 안양시 동안구 동안로 194, 2층 (비산동, 한양스포츠센터)"
대웅약국,37.40562373,126.9580575,031-384-8000,"경기도 안양시 동안구 관평로 330, 1층 (관양동, 광명빌딩)"
평촌성신약국,37.3926113,126.9615871,031-383-0734,"경기도 안양시 동안구 관평로170번길 15, 1층 (관양동)"
오행당약국,37.3819128,126.9508558,031-456-1191,"경기도 안양시 동안구 귀인로 100, 흥화아파트 상가 1층 103호 (호계동)"
자명약국,37.4797661,126.8899806,031-425-5432,"경기도 안양시 동안구 흥안대로 510, 1층 (관양동, 정빌딩)"
지우약국,37.4034435,126.9611443,031-423-8009,"경기도 안양시 동안구 관악대로 344, 101호 (관양동)"
삼층약국,37.39035953,126.9530645,031-387-3122,"경기도 안양시 동안구 평촌대로223번길 49, 301호 (호계동, 아트타워)"
인진약국,37.3739469,126.9581713,031-454-9819,경기도 안양시 동안구 경수대로570번길 9 (호계동)
해그린약국,37.3767123,126.9554846,031-452-7999,"경기도 안양시 동안구 경수대로 609, 203호 (호계동)"
평촌광장약국,37.3942223,126.9630314,031-388-3371,"경기도 안양시 동안구 관평로182번길 53, 108~110호 (관양동, 광장빌딩)"
정오약국,37.4054708,126.9573927,031-387-7718,경기도 안양시 동안구 관평로 327 (관양동)
태경약국,37.3895286,126.9737249,031-382-5219,"경기도 안양시 동안구 흥안대로 396, 103호 (평촌동, 강윤빌딩)"
왕약국,37.4693429,126.9386891,031-476-7406,"경기도 안양시 동안구 안양판교로 12-2, 1층 (관양동)"
동인당약국,35.2339332,128.8668818,031-382-7305,"경기도 안양시 동안구 관평로138번길 63, 110호 (평촌동, 부영3차상가)"
신원당약국,37.36791904,126.9550919,031-452-0422,경기도 안양시 동안구 엘에스로 44 (호계동)
천일약국,34.7399158,127.7353618,031-387-6323,"경기도 안양시 동안구 귀인로 213 (평촌동, 현대5차상가 115호)"
금정약국,37.39651434,126.9489631,031-383-1446,"경기도 안양시 동안구 달안로 61, 101호 (비산동, 샛별한양아파트에이상가)"
늘벗온누리약국,37.40519489,126.9574316,031-422-6873,"경기도 안양시 동안구 관평로 319, 105호 (관양동, 상이상가)"
안세온누리약국,37.5072092,127.0071628,031-421-3720,"경기도 안양시 동안구 관악대로 349, 1층 (관양동)"
다사랑약국,37.4030189,126.9745813,031-423-5125,경기도 안양시 동안구 관악대로 472 (관양동)
은행약국,37.40506191,126.9572088,031-388-1986,"경기도 안양시 동안구 관평로319번길 6, 1층 (관양동)"
건인약국,37.399967,126.9752225,031-423-1185,경기도 안양시 동안구 인덕원로24번길 56 (관양동)
성애약국,37.4000273,126.9745023,031-422-0927,경기도 안양시 동안구 흥안대로517번길 34 (관양동)
고약국,37.36999045,126.9576386,031-455-7861,"경기도 안양시 동안구 경수대로 529, 1층 (호계동)"
해맑은약국,37.5227191,129.1134306,031-456-3134,"경기도 안양시 동안구 엘에스로 45, 110호 (호계동, 대영골든타워)"
기원약국,37.39664914,126.9669642,031-454-9902,"경기도 안양시 동안구 시민대로327번길 6, 111호 (관양동, W에이스타워)"
피영온누리약국,47.3156695,-122.3199778,031-388-5900,"경기도 안양시 동안구 평촌대로 356, 1층 (비산동)"
대한약국,40.7654799,-73.814992,031-458-3248,"경기도 안양시 동안구 흥안대로223번길 43, 121호 (호계동, 대우한양아파트상가)"
한독약국,37.38473884,126.9512241,031-452-3127,경기도 안양시 동안구 경수대로 707 (호계동)
세명약국,35.0995354,129.0288425,031-421-7623,경기도 안양시 동안구 흥안대로 313 (평촌동)
아름약국,37.40100883,126.9689915,031-388-0557,"경기도 안양시 동안구 학의로 282, 금강펜테리움IT타워 1층 123호 (관양동)"
우성약국,37.37126469,126.9589353,031-452-7731,경기도 안양시 동안구 경수대로544번길 16 (호계동)
유림약국,37.39878405,126.9774842,031-421-3973,경기도 안양시 동안구 흥안대로 502 (관양동)
